about,fast food
about,grocery
about,export
about,restaurants
about,Major investments
about,food processing sector
about,food sector
about,government policies
about,food delivery services
about,online food
about,indian government
anythingelse,pause
best,Best,great,awesome,phenomenal
Enquiry,soup
Enquiry,Center,Restaurant,place,region,city,neighbourhood
Enquiry,stock,number,items,storage,supplies,warehouse
Enquiry,desert
Enquiry,seafood
Enquiry,fish
Enquiry,pasta
Enquiry,pizza
Enquiry,biryani,biriyani
Enquiry,snacks,other snacks
Enquiry,starters,starter,appetizer
Enquiry,beverage,drinks,hard drinks,soft drinks
Enquiry,sandwich
Enquiry,burgers
Enquiry,weather
Enquiry,extras,sides
Enquiry,salad
god,God,is there a god,do you believe in god
Greetings,hello,hellow,hey,hola,yo,heya,sup
Greetings,good afternoon,afternoon,afternun
Greetings,good night,night
Greetings,Bye,tata,see you,so long,adieu,farewell
Greetings,hi,hi,hello,yo,hola
Greetings,good morning,gm,morning,gud morning,gud mrning,gd mrng
last,oh yes,yes,can you help me,with
last,no,we are done,done,finished,i am done
month,february
month,january
month,month,date,temperature,humidity,rainfall,any tips,few suggestion,any suggestion,few tips,an idea,any idea,few ideas,some tips,some ideas,suggestion
month,april
month,august
month,december
month,november
month,october
month,september
month,june
month,july
month,may
month,march
order,order,place,buy,acquire,store
question,how are you
question,not good,bad,been better,not well,not doing good,not good,not doing well
question,good,fine,awesome,splendid,smooth,well
shelflife,shelf life,how long till it goes bad,how long does it stay fresh,goes bad,stays fresh
tellfunny,hear something funny,listen funny,hear funny,read something funny,listen something funny,read funny,want to laugh,hear a joke,listen to a joke,read a joke,a joke,joke
welcome,welcome
